id,operation_name,elapsed
173, create_prescription, 106459.0
174, get_pharmacy_prescriptions, 8481.0
175, get_prescription_medication, 6381.0
176, get_pharmacy_prescriptions, 8886.0
177, get_prescription_medication, 7174.0
178, get_prescription, 7257.0
179, get_pharmacy_prescriptions, 5702.0
180, get_pharmacy_prescriptions, 14333.0
181, create_prescription, 97419.0
182, get_pharmacy_prescriptions, 7097.0
183, create_prescription, 121868.0
184, get_staff_prescriptions, 18761.0
185, get_prescription_medication, 7585.0
186, get_prescription, 13754.0
187, get_pharmacy_prescriptions, 12448.0
188, get_pharmacy_prescriptions, 12250.0
189, process_prescription, 14691.0
190, process_prescription, 5385.0
191, get_patient, 10029.0
192, get_prescription_medication, 10896.0
193, get_pharmacy_prescriptions, 15041.0
194, get_staff_prescriptions, 18034.0
195, get_prescription_medication, 16306.000000000002
196, get_pharmacy_prescriptions, 17353.0
197, get_prescription_medication, 13940.0
198, get_prescription_medication, 19560.0
199, get_prescription_medication, 21833.0
200, get_staff_prescriptions, 15855.000000000002
201, get_prescription_medication, 10447.0
202, get_staff_prescriptions, 15837.0
203, get_prescription_medication, 15548.0
204, get_pharmacy_prescriptions, 15237.0
205, get_processed_pharmacy_prescriptions, 18156.0
206, get_staff_prescriptions, 24416.0
207, get_prescription_medication, 18565.0
208, get_prescription_medication, 4408.0
209, get_pharmacy_prescriptions, 12754.0
210, get_prescription_medication, 12407.0
211, create_prescription, 137233.0
212, get_prescription_medication, 6288.0
213, get_prescription_medication, 10031.0
214, get_prescription_medication, 27272.0
215, get_prescription_medication, 21100.0
216, get_patient, 4684.0
217, create_prescription, 171645.0
218, get_processed_pharmacy_prescriptions, 9412.0
219, get_prescription, 17690.0
220, get_pharmacy_prescriptions, 10634.0
221, process_prescription, 9534.0
222, get_pharmacy_prescriptions, 7819.0
223, get_staff_prescriptions, 12285.0
224, get_staff_prescriptions, 8664.0
225, get_patient, 13579.0
226, get_staff_prescriptions, 10301.0
227, get_staff_prescriptions, 6528.0
228, get_pharmacy_prescriptions, 7714.0
229, get_pharmacy_prescriptions, 5014.0
230, get_pharmacy_prescriptions, 10406.0
231, get_pharmacy_prescriptions, 14053.0
232, get_prescription_medication, 4179.0
233, process_prescription, 10296.0
234, get_prescription_medication, 12413.0
235, get_pharmacy_prescriptions, 9007.0
236, get_prescription_medication, 9768.0
237, get_prescription_medication, 12367.0
238, process_prescription, 11939.0
239, get_pharmacy_prescriptions, 12412.0
240, create_prescription, 198937.0
241, get_staff_prescriptions, 7196.0
242, get_prescription_medication, 10270.0
243, get_pharmacy_prescriptions, 5831.0
244, get_prescription_medication, 4990.0
245, get_staff_prescriptions, 6944.0
246, get_staff_prescriptions, 7023.0
247, get_prescription_medication, 6887.0
248, get_pharmacy_prescriptions, 8028.0
249, get_pharmacy_prescriptions, 10429.0
250, get_staff_prescriptions, 9963.0
251, get_pharmacy_prescriptions, 8916.0
252, process_prescription, 11601.0
253, create_prescription, 230446.0
254, get_pharmacy_prescriptions, 8254.0
255, get_prescription_medication, 5864.0
256, create_prescription, 121511.0
257, get_prescription_medication, 5972.0
258, get_pharmacy_prescriptions, 9769.0
259, get_pharmacy_prescriptions, 7565.0
260, get_prescription, 13702.0
261, get_prescription, 8986.0
262, get_processed_pharmacy_prescriptions, 8657.0
263, get_processed_pharmacy_prescriptions, 11413.0
264, get_patient, 11086.0
265, get_processed_pharmacy_prescriptions, 10553.0
266, get_prescription, 15561.0
267, get_prescription_medication, 7006.0
268, get_pharmacy_prescriptions, 13551.0
269, get_prescription_medication, 17494.0
270, get_patient, 3888.0
271, get_pharmacy_prescriptions, 11167.0
272, get_staff_prescriptions, 10281.0
273, get_pharmacy_prescriptions, 10401.0
274, get_prescription_medication, 6063.0
275, get_prescription_medication, 24364.0
276, get_pharmacy_prescriptions, 21965.0
277, get_prescription_medication, 10952.0
278, update_prescription_medication, 6262.0
279, update_prescription_medication, 18076.0
280, get_prescription_medication, 11053.0
281, get_prescription_medication, 9656.0
